modelo,variant_features,hyperparams,threshold_type,threshold,split,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.6603,0.4477,0.7728,0.567,0.7756,0.6446,683,428,102,347
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,train,0.7963,0.565,0.8698,0.685,0.901,0.7878,3622,1075,209,1396
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,validation,0.7718,0.3004,0.4926,0.3733,0.6158,0.2557,694,156,69,67
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,test,0.5929,0.3996,0.8241,0.5382,0.7756,0.6446,555,556,79,370
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8645,0.6901,0.8492,0.7615,0.9436,0.8673,4085,612,242,1363
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.789,0.3302,0.5147,0.4023,0.6219,0.2997,708,142,66,70
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.5712,0.3842,0.8129,0.5218,0.7601,0.6335,526,585,84,365
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.5,train,0.8645,0.6901,0.8492,0.7615,0.9436,0.8673,4085,612,242,1363
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.5,validation,0.789,0.3302,0.5147,0.4023,0.6219,0.2997,708,142,66,70
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.5,test,0.5712,0.3842,0.8129,0.5218,0.7601,0.6335,526,585,84,365
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8604,0.685,0.8361,0.7531,0.9383,0.8585,4080,617,263,1342
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8002,0.3351,0.4559,0.3863,0.6086,0.2942,727,123,74,62
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.6686,0.4536,0.7394,0.5622,0.775,0.6383,711,400,117,332
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.48,train,0.8605,0.6831,0.8436,0.7549,0.9383,0.8585,4069,628,251,1354
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.48,validation,0.7972,0.3384,0.4926,0.4012,0.6086,0.2942,719,131,69,67
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.48,test,0.6513,0.4384,0.7528,0.5541,0.775,0.6383,678,433,111,338
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.9359,0.8203,0.9583,0.8839,0.9887,0.9699,4360,337,67,1538
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.4483,0.1577,0.6912,0.2568,0.6354,0.3432,348,502,42,94
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.4647,0.333,0.8575,0.4798,0.7143,0.6021,340,771,64,385
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.69,train,0.946,0.9495,0.8324,0.8871,0.9887,0.9699,4626,71,269,1336
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.69,validation,0.86,0.4875,0.2868,0.3611,0.6354,0.3432,809,41,97,39
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.69,test,0.7468,0.5794,0.4388,0.4994,0.7143,0.6021,968,143,252,197
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8832,0.7158,0.8978,0.7966,0.9633,0.9089,4125,572,164,1441
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7911,0.3284,0.4926,0.3941,0.6247,0.3236,713,137,69,67
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.6397,0.4277,0.7439,0.5431,0.7623,0.63,664,447,115,334
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.51,train,0.8831,0.7177,0.8916,0.7952,0.9633,0.9089,4134,563,174,1431
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.51,validation,0.8002,0.3436,0.4926,0.4048,0.6247,0.3236,722,128,69,67
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.51,test,0.6487,0.4343,0.7283,0.5441,0.7623,0.63,685,426,122,327
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8166,0.6049,0.8069,0.6914,0.8908,0.7743,3851,846,310,1295
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8043,0.3061,0.3309,0.318,0.5467,0.2457,748,102,91,45
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7455,0.545,0.7016,0.6134,0.7787,0.6471,848,263,134,315
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,train,0.7312,0.4849,0.8903,0.6279,0.8908,0.7743,3179,1518,176,1429
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7738,0.3014,0.4853,0.3718,0.5467,0.2457,697,153,70,66
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,test,0.5974,0.4026,0.8241,0.5409,0.7787,0.6471,562,549,79,370
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8147,0.6012,0.8087,0.6897,0.8892,0.7722,3836,861,307,1298
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8053,0.3082,0.3309,0.3191,0.5438,0.2431,749,101,91,45
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7468,0.5467,0.7038,0.6154,0.7797,0.649,849,262,133,316
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,train,0.7299,0.4836,0.8903,0.6268,0.8892,0.7722,3171,1526,176,1429
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7698,0.2978,0.4926,0.3712,0.5438,0.2431,692,158,69,67
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,test,0.6,0.4042,0.8218,0.5419,0.7797,0.649,567,544,80,369
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8362,0.636,0.8349,0.722,0.9287,0.8495,3930,767,265,1340
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8073,0.3151,0.3382,0.3262,0.5629,0.2807,750,100,90,46
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7429,0.5438,0.6637,0.5978,0.77,0.6475,861,250,151,298
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,train,0.8139,0.5876,0.9028,0.7119,0.9287,0.8495,3680,1017,156,1449
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,validation,0.787,0.3073,0.4338,0.3598,0.5629,0.2807,717,133,77,59
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,test,0.6481,0.4361,0.7595,0.554,0.77,0.6475,670,441,108,341
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8318,0.6282,0.8318,0.7158,0.9221,0.8344,3907,790,270,1335
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8053,0.3108,0.3382,0.3239,0.5481,0.2727,748,102,90,46
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7404,0.5399,0.6637,0.5954,0.7679,0.6398,857,254,151,298
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.37,train,0.801,0.5699,0.891,0.6952,0.9221,0.8344,3618,1079,175,1430
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.37,validation,0.785,0.3061,0.4412,0.3614,0.5481,0.2727,714,136,76,60
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.37,test,0.6641,0.4502,0.755,0.5641,0.7679,0.6398,697,414,110,339
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.9295,0.8089,0.947,0.8726,0.9833,0.9542,4338,359,85,1520
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8093,0.3143,0.3235,0.3188,0.5751,0.3088,754,96,92,44
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7372,0.5383,0.6102,0.572,0.7647,0.6418,876,235,175,274
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,train,0.8873,0.6964,0.9888,0.8172,0.9833,0.9542,4005,692,18,1587
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,validation,0.7911,0.3118,0.4265,0.3602,0.5751,0.3088,722,128,78,58
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,test,0.6821,0.466,0.7171,0.5649,0.7647,0.6418,742,369,127,322
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.861,0.6781,0.8648,0.7601,0.9523,0.8832,4038,659,217,1388
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8032,0.3067,0.3382,0.3217,0.5638,0.2899,746,104,90,46
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7359,0.533,0.6659,0.5921,0.7702,0.6434,849,262,150,299
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.38,train,0.8397,0.6208,0.9526,0.7517,0.9523,0.8832,3763,934,76,1529
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.38,validation,0.7941,0.3189,0.4338,0.3676,0.5638,0.2899,724,126,77,59
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.38,test,0.6827,0.4676,0.7394,0.5729,0.7702,0.6434,733,378,117,332
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8166,0.6045,0.8093,0.6921,0.8909,0.776,3847,850,306,1299
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8022,0.302,0.3309,0.3158,0.5574,0.2487,746,104,91,45
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7462,0.5459,0.7016,0.614,0.7776,0.6477,849,262,134,315
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,train,0.7295,0.4831,0.8903,0.6263,0.8909,0.776,3168,1529,176,1429
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7738,0.2995,0.4779,0.3683,0.5574,0.2487,698,152,71,65
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,test,0.6,0.4046,0.8263,0.5432,0.7776,0.6477,565,546,78,371
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8159,0.6034,0.8087,0.6912,0.8892,0.7741,3844,853,307,1298
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8032,0.3041,0.3309,0.3169,0.5432,0.2442,747,103,91,45
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7455,0.545,0.7016,0.6134,0.7781,0.6489,848,263,134,315
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,train,0.7293,0.4829,0.8903,0.6262,0.8892,0.7741,3167,1530,176,1429
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7688,0.2946,0.4853,0.3667,0.5432,0.2442,692,158,70,66
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,test,0.5987,0.4037,0.8263,0.5424,0.7781,0.6489,563,548,78,371
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8362,0.6366,0.8318,0.7212,0.9281,0.8484,3935,762,270,1335
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8073,0.3125,0.3309,0.3214,0.5599,0.2798,751,99,91,45
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7481,0.552,0.6615,0.6018,0.7704,0.647,870,241,152,297
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.35,train,0.8042,0.5731,0.9065,0.7022,0.9281,0.8484,3613,1084,150,1455
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.35,validation,0.784,0.3026,0.4338,0.3565,0.5599,0.2798,714,136,77,59
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.35,test,0.6346,0.4274,0.7929,0.5554,0.7704,0.647,634,477,93,356
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8315,0.6286,0.8268,0.7142,0.9216,0.8335,3913,784,278,1327
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8053,0.3082,0.3309,0.3191,0.5505,0.271,749,101,91,45
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.7385,0.5367,0.6682,0.5952,0.7685,0.6425,852,259,149,300
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.31,train,0.7623,0.519,0.9121,0.6615,0.9216,0.8335,3340,1357,141,1464
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.31,validation,0.7657,0.2926,0.4926,0.3671,0.5505,0.271,688,162,69,67
