modelo,variant_features,hyperparams,threshold_type,threshold,split,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
XGBoost,all_features,n_estimators=200;max_depth=2;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.7,validation,0.8357,0.4085,0.4265,0.4173,0.7448,0.3625,766,84,78,58
XGBoost,all_features,n_estimators=200;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.3682,0.1705,0.9265,0.288,0.739,0.3634,237,613,10,126
XGBoost,all_features,n_estimators=200;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.73,validation,0.7525,0.3112,0.6544,0.4218,0.739,0.3634,653,197,47,89
XGBoost,all_features,n_estimators=200;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.4513,0.176,0.8088,0.2891,0.7274,0.4038,335,515,26,110
XGBoost,all_features,n_estimators=200;max_depth=3;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.72,validation,0.8489,0.4601,0.5515,0.5017,0.7274,0.4038,762,88,61,75
XGBoost,all_features,n_estimators=200;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.3884,0.165,0.8456,0.2761,0.7364,0.4,268,582,21,115
XGBoost,all_features,n_estimators=200;max_depth=3;lr=0.05;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.83,validation,0.8398,0.4236,0.4485,0.4357,0.7364,0.4,767,83,75,61
XGBoost,all_features,n_estimators=400;max_depth=2;lr=0.03;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.3874,0.1759,0.9338,0.296,0.7455,0.3657,255,595,9,127
XGBoost,all_features,n_estimators=400;max_depth=2;lr=0.03;subsample=0.8;colsample_bytree=0.8,optimized_val_f1,0.78,validation,0.7677,0.3271,0.6471,0.4346,0.7455,0.3657,669,181,48,88
XGBoost,all_features,n_estimators=400;max_depth=2;lr=0.05;subsample=0.8;colsample_bytree=0.8,fixed_0.5,0.5,validation,0.3448,0.1662,0.9338,0.2822,0.7367,0.3365,213,637,9,127
